id,reservationNumber,passengers,rider,serviceLevel,reservationTime,rideStartedTime,rideEndTime,latitude,longitude,waitingTime,hourofday,dayofweek,startLoc,endLoc,rideDuration,dashrideid,distance,condition
57bef5ec48f71f91657bfa4b,3D4-A673D,1,5720c1d804c782724dd08478,Any vehicle,2016-08-25 13:42:00.000,2016-08-25 13:50:52.000,2016-08-25 13:57:20.362,33.95,-84.24,8.86666666667,13,Thursday,"-84.25, 33.95","-84.24, 33.95",6.0,13055.0,0.928204758409,end
57c82d6c794cd82d95d3a5bb,3F9-FA959,1,573793c61aae88cfc98ff9f9,Any vehicle,2016-09-01 13:29:00.000,2016-09-01 13:51:21.000,2016-09-01 13:51:24.921,33.98,-84.22,22.35,13,Thursday,"-84.25, 33.95","-84.22, 33.98",0.0,14116.0,2.62881291263,end
57d1692257b273543470b3ea,41D-9B135,1,57a77bea217dced298167bf4,Any vehicle,2016-09-08 13:35:00.000,2016-09-08 13:52:05.000,2016-09-08 14:01:39.233,33.97,-84.22,17.0833333333,13,Thursday,"-84.25, 33.95","-84.22, 33.97",9.0,15040.0,1.71061651118,end
57da9eca6119c9025971c25f,442-99226,1,574212ec34143815e2b5a80c,Any vehicle,2016-09-15 13:14:00.000,2016-09-15 13:26:22.000,2016-09-15 13:41:34.002,33.89,-84.3,12.3666666667,13,Thursday,"-84.25, 33.95","-84.3, 33.89",15.0,16141.0,4.90358051394,end
57daa71ee7f8a2833d171a8e,442-CE41A,1,5757a497ad0b4e75feb67b14,Any vehicle,2016-09-15 13:49:00.000,2016-09-15 13:58:35.000,2016-09-15 13:58:47.571,33.95,-84.25,9.58333333333,13,Thursday,"-84.25, 33.95","-84.25, 33.95",0.0,16150.0,0.290867373357,end
57e3dfc326f50fa79fff1f79,RES-17G847,1,57aa13522b25ccea47076817,Any vehicle,2016-09-22 13:41:00.000,2016-09-22 13:52:37.000,2016-09-22 14:05:12.935,33.96,-84.25,11.6166666667,13,Thursday,"-84.25, 33.95","-84.25, 33.96",12.0,17368.0,0.560932116205,end
57ff89d724035cce746220cb,RES-2854G7,1,573793c61aae88cfc98ff9f9,Any vehicle,2016-10-13 13:18:00.000,2016-10-13 13:27:59.000,2016-10-13 13:37:36.265,33.98,-84.22,9.98333333333,13,Thursday,"-84.25, 33.95","-84.22, 33.98",9.0,21459.0,2.62722297373,end
57ff8cb0bedcc9d0db2fab1b,RES-285M56,1,576e2a94633e8e38a42ec8be,Any vehicle,2016-10-13 13:30:00.000,2016-10-13 13:40:23.000,2016-10-13 13:44:08.210,33.95,-84.25,10.3833333333,13,Thursday,"-84.25, 33.95","-84.25, 33.95",3.0,21461.0,0.543930102627,end
57ff8d8937362fce73887715,RES-285VDE,1,57a77bea217dced298167bf4,Any vehicle,2016-10-13 13:34:00.000,2016-10-13 13:50:48.000,2016-10-13 14:00:35.399,33.97,-84.22,16.8,13,Thursday,"-84.25, 33.95","-84.22, 33.97",9.0,21463.0,1.71455378013,end
57ff93415bb922ce6eff8e19,RES-287E7A,1,572212778de26570ef933043,Any vehicle,2016-10-13 13:59:00.000,2016-10-13 14:19:18.000,2016-10-13 14:19:21.188,33.95,-84.24,20.3,13,Thursday,"-84.25, 33.95","-84.24, 33.95",0.0,21470.0,0.864203430211,end
5808c103a2c26fe5be31549d,RES-2MK3NJ,1,573f74f902f8590288b19693,Any vehicle,2016-10-20 13:04:00.000,2016-10-20 13:15:44.000,2016-10-20 13:26:50.776,33.98,-84.23,11.7333333333,13,Thursday,"-84.25, 33.95","-84.23, 33.98",11.0,22697.0,2.35689483148,end
5808c85269dda0e5c3287155,RES-2MM5DD,1,57a77bea217dced298167bf4,Any vehicle,2016-10-20 13:35:00.000,2016-10-20 13:59:14.000,2016-10-20 13:59:16.308,33.97,-84.22,24.2333333333,13,Thursday,"-84.25, 33.95","-84.22, 33.97",0.0,22705.0,1.68220725705,end
5808ca9880498235e1164d67,RES-2MMV6Q,1,57310971e1e0376d9f87ea1e,Any vehicle,2016-10-20 13:45:00.000,2016-10-20 13:54:23.000,2016-10-20 14:03:31.816,33.93,-84.27,9.38333333333,13,Thursday,"-84.25, 33.95","-84.27, 33.93",9.0,22707.0,1.91538604639,end
5811fb3c0def7588de894bca,RES-31MJFW,1,57a77bea217dced298167bf4,Any vehicle,2016-10-27 13:03:00.000,2016-10-27 13:22:44.000,2016-10-27 13:22:47.743,33.95,-84.26,19.7333333333,13,Thursday,"-84.25, 33.95","-84.26, 33.95",0.0,24381.0,1.09253938786,end
5811ff59a77dceca9a35a755,RES-31NPV9,1,573793c61aae88cfc98ff9f9,Any vehicle,2016-10-27 13:20:00.000,2016-10-27 13:31:29.000,2016-10-27 13:48:48.665,33.98,-84.22,11.4833333333,13,Thursday,"-84.25, 33.95","-84.22, 33.98",17.0,24385.0,2.6282185227,end
58120698a77dceca9a35a7e5,RES-31QSBC,1,572212778de26570ef933043,Any vehicle,2016-10-27 13:51:00.000,2016-10-27 14:11:14.000,2016-10-27 14:12:45.048,33.95,-84.24,20.2333333333,13,Thursday,"-84.25, 33.95","-84.24, 33.95",1.0,24390.0,0.847906882423,end
581b384e9d7498ef0e6502de,RES-3GJXFH,1,581b384d23d2e3ef0815470b,Any vehicle,2016-11-03 13:13:00.000,2016-11-03 13:23:44.000,2016-11-03 13:51:55.164,33.92,-84.17,10.7333333333,13,Thursday,"-84.25, 33.95","-84.17, 33.92",28.0,26209.0,5.14582277471,end
581b3bc423d2e3ef08154736,RES-3GKSYV,1,573793c61aae88cfc98ff9f9,Any vehicle,2016-11-03 13:28:00.000,2016-11-03 13:44:16.000,2016-11-03 13:47:36.081,33.96,-84.24,16.2666666667,13,Thursday,"-84.25, 33.95","-84.24, 33.96",3.0,26215.0,0.80075419977,end
582daf35885585a105dbb660,RES-4EFR1,1,57926447429f0ad5353b470b,Any vehicle,2016-11-17 13:21:00.000,2016-11-17 13:29:00.000,2016-11-17 13:33:28.497,33.95,-84.24,8.0,13,Thursday,"-84.25, 33.95","-84.24, 33.95",4.0,29458.0,0.56080208521,end
582dafc01fc9632705c9d9ca,RES-4EFWN3,1,575c623652ce4996363f7f52,Any vehicle,2016-11-17 13:24:00.000,2016-11-17 13:42:39.000,2016-11-17 13:42:41.946,33.95,-84.25,18.65,13,Thursday,"-84.25, 33.95","-84.25, 33.95",0.0,29459.0,0.449764825859,end
582db3b0885585a105dbb6cf,RES-4EHAKP,1,5783795ffa628322667fcc84,Any vehicle,2016-11-17 13:38:00.000,2016-11-17 13:48:41.000,2016-11-17 13:50:16.900,33.95,-84.25,10.6833333333,13,Thursday,"-84.25, 33.95","-84.25, 33.95",1.0,29461.0,0.443472452437,end
582db725885585a105dbb720,RES-4EJ5C,1,58079e4154f8bee5b987ac71,Any vehicle,2016-11-17 13:56:00.000,2016-11-17 14:03:53.000,2016-11-17 14:09:03.771,33.95,-84.25,7.88333333333,13,Thursday,"-84.25, 33.95","-84.25, 33.95",5.0,29465.0,0.388505875735,end
58402ccd06b0e9ba9d12512a,RES-5BQPJ0,1,57a77bea217dced298167bf4,Any vehicle,2016-12-01 13:59:41.000,2016-12-01 14:43:14.000,2016-12-01 14:46:30.686,33.96,-84.23,43.55,13,Thursday,"-84.25, 33.95","-84.23, 33.96",3.0,32762.0,1.27943041172,end
58495b4bf0657f014b2acd54,RES-5VB8VE,1,575c623652ce4996363f7f52,Any vehicle,2016-12-08 13:06:00.000,2016-12-08 13:23:11.000,2016-12-08 13:30:23.886,33.94,-84.25,17.1833333333,13,Thursday,"-84.25, 33.95","-84.25, 33.94",7.0,34749.0,1.02577632405,end
58529639f79c82ce111bbdd2,RES-6BHHR7,1,573f74f902f8590288b19693,Any vehicle,2016-12-15 13:09:00.000,2016-12-15 13:18:05.000,2016-12-15 13:39:51.119,33.93,-84.18,9.08333333333,13,Thursday,"-84.25, 33.95","-84.18, 33.93",21.0,36605.0,4.60058957088,end
58529653edea1bce05378750,RES-6BHKRW,1,575c623652ce4996363f7f52,Any vehicle,2016-12-15 13:10:00.000,2016-12-15 13:23:49.000,2016-12-15 13:26:59.450,33.95,-84.25,13.8166666667,13,Thursday,"-84.25, 33.95","-84.25, 33.95",3.0,36606.0,0.447795940771,end
58529e83e135495fbc5e48d7,RES-6BKVVR,1,5851627254f9a23ef0c61bc1,Any vehicle,2016-12-15 13:45:00.000,2016-12-15 13:49:06.000,2016-12-15 14:00:53.865,33.95,-84.26,4.1,13,Thursday,"-84.25, 33.95","-84.26, 33.95",11.0,36614.0,0.138493395448,end
585bdaf0c078389e00b144e8,RES-6VVF3M,1,5734e65310572e67b2f4babc,Any vehicle,2016-12-22 13:53:00.000,2016-12-22 13:59:09.000,2016-12-22 14:03:44.503,33.94,-84.24,6.15,13,Thursday,"-84.25, 33.95","-84.24, 33.94",4.0,38530.0,1.20900928188,end
586516d46061d5595e0e87b0,RES-79C5Z4,1,573279df3cffb3945749c53e,Any vehicle,2016-12-29 13:59:00.000,2016-12-29 14:10:55.000,2016-12-29 14:26:22.293,33.93,-84.18,11.9166666667,13,Thursday,"-84.25, 33.95","-84.18, 33.93",15.0,40562.0,4.21356634447,end
586e4e0b56e13918cc0cb97c,RES-7S80E2,1,5851627254f9a23ef0c61bc1,Any vehicle,2017-01-05 13:44:00.000,2017-01-05 13:50:05.000,2017-01-05 14:02:38.127,33.9,-84.24,6.08333333333,13,Thursday,"-84.25, 33.95","-84.24, 33.9",12.0,42637.0,3.44951049293,end
